S No. 	Base Scenario 	BU	Base Jira ID	Send-Back Jira ID	Jira Summary	Assigned To	Status	Assigned To.1	Failure At Stage	Status as on 24-02-2025	Application ID - 24-02-2025	Open Defect 24-02-2025	Date	Defect Linked	Application No. 	Count of Applications tested	Data entry changes in FOS before Resubmit (if Any)	T1_UW L1	T1_UW LH	T1_CPC_Verification	"T1_CPC_Dedupe 
(Skip for Match & No Match)"	"T1_QC 
(Skip for not-Sampled)"	"T2_UW_L1_Defferal 
(Skip for No Defferal)"	"T2_UW_LH_Defferal
(Skip for No Defferal)"	"T2_UW_L1_Deffrered 
(Skip for No change)"	"T2_UW_LH_TAtoReg
(Skip for No change)"	"T2_UW_L1_CashToACH
(Skip for No change)"	"T2_UW_LH_CashToACH
(Skip for No change)"	T2_CPC_Validation	T2_CPC_Disbursement	T2_CPC_TVR (Skip for not Sampled)	T2_QC (Skip for not Sampled)	Unnamed: 33	Unnamed: 34
25	Scenario 85	SOT	MT-4306	MT-4366	Send-Back_MT-4306:Base_SOT_Scenario-25_BRE 1 Deviation			Lalit									v 	Approve	Proposal Summary_PF Charges_ Sendback	Approve	Send-back	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Skip	Margin ammount	Approve	Approve/Skip	Approve		
26	Scenario 86	SOT	MT-4307	MT-4367	Send-Back_MT-4307:Base_SOT_Scenario-26_BRE 1 Deviation			Lalit										Approve	Approve	Approve	Approve	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Skip	Applicants - Banking & Mandate details	Approve	Approve/Skip	Approve		
27	Scenario 87	FES	MT-4308	MT-4368	Send-Back_MT-4308:Base_FES_Scenario-27_BRE 2 Happy Flow			Deep										Approve	Approve	Approve	Approve	Approve/Skip	Send-back	Skip	Skip	Skip	Skip	Skip	Defferal/deviation sendback 	Approve	Approve/Skip	Approve		
28	Scenario 88	POCL	MT-4309	MT-4369	Send-Back_MT-4309:Base_POCL_Scenario-28_BRE 3 Happy Flow			Saleela										Approve	Approve	Approve	Approve	Send-back	Skip	Skip	Skip	Skip	Send-back	Skip	Approve	Approve	Approve/Skip	Approve		
29	Scenario 89	SOT	MT-4310	MT-4370	Send-Back_MT-4310:Base_SOT_Scenario-29_BRE 3 Happy Flow			Rushiki 						MT-6125	MF25021100006932 - 11/ 02/25			Approve	Approve	Approve	Approve	Approve/Skip	Skip	Skip	send back 	Skip	Send-back	Skip	Approve	Approve	Approve/Skip	Approve/Skip	MF24112100003694	
30	Scenario 90	FES	MT-4311	MT-4371	Send-Back_MT-4311:Base_FES_Scenario-30_BRE 2 Happy Flow			Deep										Approve	Approve	Send-back on KYC document	Send-back	Approve	Skip	Skip	Skip	Skip	Skip	Skip	Approve	Approve	Approve/Skip	Send-Back		
31	Scenario 91	POCL	MT-4312	MT-4372	Send-Back_MT-4312:Base_POCL_Scenario-31_BRE 3 Happy Flow			Parag										Approve	Approve	Co-Applicants+Gurantor- Personal & Contact Details	Approve	Approve/Skip	Skip	Skip	Send-back	Approve	Skip	Skip	Approve	Approve	Approve/Skip	Send-back	MF24112900004672	
32	Scenario 92	SOT	MT-4313	MT-4373	Send-Back_MT-4313:Base_SOT_Scenario-32_BRE 3 Happy Flow			Rushiki 									Change Repayer from Applicant to co-applicant	Approve	Approve	Applicant+ Co-Applicants+Gurantor - KYC details	Send-back	Approve/Skip	Skip	Skip	Skip	Skip	Send-back	Approve	Approve	Approve	Approve/Skip	Send-back	MF24112800004553	
33	Scenario 93	SOT	MT-4314	MT-4374	Send-Back_MT-4314:Base_SOT_Scenario-33_BRE 3 Happy Flow			Lalit		UAT Failed	MF25022400014027	MT-6208						Send-back	Approve	Co-Applicants- Basic Customer profile	Send-back	Approve/Skip	Approve	Approve	Approve	Approve	Approve	Send-back	Approve	Approve	Approve/Skip	Send-back		
34	Scenario 94	FES	MT-4315		Send-Back_MT-4315:Base_FES_Scenario-34_BRE 2 Happy Flow			Ekta		UAT Blocked	MF25022400014029	MT-6744		MT-6744				Approve	Approve	Co-Applicants+Gurantor- PSL Details -  	Send-back	Approve/Skip	Approve	Approve	Approve	Send-back	Approve	Approve	Approve	Approve	Approve/Skip	Approve		
35	Scenario 95	POCL	MT-4316	MT-4376	Send-Back_MT-4316:Base_POCL_Scenario-35_BRE 3 Happy Flow			Parag										Approve	Send-back	Co-Applicants+Gurantor- Address details	Approve	Approve/Skip	Skip	Skip	Approve	Approve	Approve	Send-back	Approve	Approve	Hold	Approve/Skip		
36	Scenario 96	PV	MT-4317	MT-4377	Send-Back_MT-4317:Base_PV_Scenario-36_BRE 2 Happy Flow			Debadri					2025-08-02 00:00:00	MT-6097	MH25020800004113		Remove defferal in post-sanction	Approve	Approve	Co-Applicants+Gurantor - Document verification	Send-back	Approve/Skip	Skip	Send-back	Skip	Skip	Approve	Approve	Margin ammount	Approve	Send-back	Approve/Skip		
37	Scenario 97	FES	MT-4318	MT-4378	Send-Back_MT-4318:Base_FES_Scenario-37_BRE 3 Happy Flow			Antrang 										Approve	Approve	Approve	Approve	Approve/Skip	Skip	Skip	Send-back	Approve	Skip	Skip	Applicants - Banking & Mandate details	Approve	Hold	Approve/Skip		
38	Scenario 98	POCL	MT-4319	MT-4379	Send-Back_MT-4319:Base_POCL_Scenario-38_BRE 3 Happy Flow			Parag									Remove defferal in post-sanction	Approve	Approve	Co-Applicants+Gurantor- Last Name	Approve	Send-back	Skip	Skip	Approve	Send-back	Approve	Approve	Defferal/deviation sendback 	Approve	Send-back	Approve/Skip		
39	Scenario 99	SOT	MT-4320	MT-4380	Send-Back_MT-4320:Base_SOT_Scenario-39_BRE 3 Happy Flow			Rushiki 									Add defferal in post-sanction	Approve	Approve	Co-Applicants+Gurantor- First Name	Approve	Approve/Skip	Skip	Skip	Skip	Skip	Send-back	Approve	Co-Applicants - Mandate details	Approve	Approve/Skip	Approve/Skip	"MF24112900004746
"	1000028728
40	Scenario 100	PV	MT-4321	MT-4381	Send-Back_MT-4321:Base_PV_Scenario-40_BRE 2 Deviation-Applicant is repayer - Bre 1 run			Janhvi					05.02.2025	MT-6097			Remove Defferal in pre-sanction	Approve	Proposal Summary_IRR_ Sendback	"Co-Applicants - Viability Templates this is not applicable for BRE 2
Income details"	Send-back	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Skip	Co-Applicants - Banking & Mandate details	Approve	Approve/Skip	Approve/Skip		
41	Scenario 101	FES	MT-4322	MT-4382	Send-Back_MT-4322:Base_FES_Scenario-41_BRE 3 Deviation-Co-appliant is repayer - BRE 3 run			Deep										Approve	Proposal Summary_PF Charges_ Sendback	Applicant + Co-Applicants Financials	Approve	Send-back	Skip	Skip	Skip	Skip	Skip	Skip	Approve	Approve	Approve/Skip	Approve/Skip		
42	Scenario 102	POCL	MT-4323	MT-4383	Send-Back_MT-4323:Base_POCL_Scenario-42_BRE 3 Deviation-Repayer changed to Co-applicant after BRE 2 run - No offer			Saleela										Skip	Skip	Details - Margin amount	Approve	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Skip	Approve	Approve	Approve/Skip	Send-Back		
43	Scenario 103	PV	MT-4324	MT-4384	Send-Back_MT-4324:Base_PV_Scenario-43_BRE 2 Deviation-Applicant is repayer - Bre 1 run			Janhvi					2025-10-02 00:00:00	MT-6275	MH25021000004811			Skip	Skip	Details - Cash Flow Details	Approve	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Send-back	Approve	Approve	Approve/Skip	Approve		
44	Scenario 104	FES	MT-4325	MT-4385	Send-Back_MT-4325:Base_FES_Scenario-44_BRE 2 Deviation-Co-appliant is repayer - BRE 2 run			Rushad										Skip	Skip	Deviations and conditions - Send back 	Approve	Send-back	Approve	Skip	Skip	Skip	Skip	Skip	Approve	Approve	Approve/Skip	Send-Back		
45	Scenario 105	POCL	MT-4326	MT-4386	Send-Back_MT-4326:Base_POCL_Scenario-45_BRE 3 Deviation			Ankush										Skip	Skip	Assets - Asset detail sendback	Approve	Send-back	Approve	Skip	Skip	Skip	Skip	Skip	Approve	Approve	Approve/Skip	Send-Back		
46	Scenario 106	SOT	MT-4327	MT-4387	Send-Back_MT-4327:Base_SOT_Scenario-46_BRE 3 Deviation			Kapil	QDE 1a -Proceed		MF25022700014581		2025-02-27 00:00:00	MT-6879	MF25022700014581	1.0		Approve	Approve	Approve	Send-back	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Skip	Margin ammount	Approve	Approve/Skip	Approve/Skip		
47	Scenario 107	PV	MT-4328	MT-4388	Send-Back_MT-4328:Base_PV_Scenario-47_BRE 3Deviation			Shantesh										Approve	Approve	Approve	Send-back	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Skip	Margin ammount	Approve	Approve/Skip	Approve/Skip		
48	Scenario 108	FES	MT-4329	MT-4389	Send-Back_MT-4329:Base_FES_Scenario-48_BRE 2 Happy Flow			Deep										Approve	Approve	Approve	Send-back	Approve/Skip	Skip	Skip	Skip	Skip	Send-back	Skip	Approve	Approve	Approve/Skip	Approve/Skip		
49	Scenario 109	POCL	MT-4330	MT-4390	Send-Back_MT-4330:Base_POCL_Scenario-49_BRE 3 Happy Flow			Tejeswini		UAT Failed								Approve	Approve	Approve	Send-back	Approve/Skip	Approve	Approve	Skip	Skip	Skip	Skip	Approve	Send Back on MMR document	Approve/Skip	Approve/Skip		
50	Scenario 110	SOT	MT-4331	MT-4391	Send-Back_MT-4331:Base_SOT_Scenario-50_BRE 3 Happy Flow			Minal	Waiting for U/w approver (post BRE)		MF25022800018600		2025-02-28 00:00:00		MF25022800018600	1.0		Approve	Approve	Co-Applicants+Applicants- Personal & Contact Details	Send-back	Approve/Skip	Skip	Skip	Send-back	Approve	Skip	Skip	Approve	Approve	Approve/Skip	Approve/Skip		
51	Scenario 111	FES	MT-4332	MT-4392	Send-Back_MT-4332:Base_FES_Scenario-51_BRE 3 Happy Flow			Durvesh										Approve	Approve	Co-Applicants+Applicants - KYC details	Send-back	Send-back	Approve	Skip	Skip	Skip	Send-back	Approve	Approve	Approve	Hold	Approve/Skip		
52	Scenario 112	POCL	MT-4333	MT-4393	Send-Back_MT-4333:Base_POCL_Scenario-52_BRE 3 Happy Flow			Ankush		UAT Blocked	MF25022400014042,MF25022500014235	MT-6601,MT-6791	25/02/2025					Approve	Approve	Applicants- Basic Customer profile	Send-back	Approve/Skip	Approve	Approve	Approve	Approve	Approve	Send-back	Approve	Approve	Send-back	Approve/Skip		
53	Scenario 113	SOT	MT-4334	MT-4394	Send-Back_MT-4334:Base_SOT_Scenario-53_BRE 3 Deviation			Lalit		UAT Failed	MF25022500014181	MT-6578						Approve	Approve	Co-Applicants+Applicants- PSL Details -  	Send-back	Approve/Skip	Approve	Approve	Approve	Send-back	Approve	Approve	Approve	Approve	Hold	Approve/Skip		
54	Scenario 114	SOT	MT-4335	MT-4395	Send-Back_MT-4335:Base_SOT_Scenario-54_BRE 3 Deviation			Lalit										Approve	Approve	Co-Applicants+Applicants- Address details	Send-back	Approve/Skip	Skip	Skip	Approve	Approve	Approve	Send-back	Approve	Approve	Send-back	Approve/Skip		
56	Scenario 116	POCL	MT-4337	MT-4397	Send-Back_MT-4337:Base_POCL_Scenario-56_BRE 3 Deviation			Ankush		UAT Blocked	MF25022400013984	MT-6601	24/02/2025	MT-6601	MF25022400013984			Approve	Approve	Details- Document verification details	Approve	Approve/Skip	Skip	Skip	Send-back	Approve	Skip	Skip	Approve	Approve	Approve/Skip	Approve/Skip		
57	Scenario 117	PV	MT-4338	MT-4398	Send-Back_MT-4338:Base_PV_Scenario-57_BRE 3 Deviation			Janhvi										Send-back	Approve	Applicants- Bank account	Approve	Send-back	Approve	Skip	Approve	Send-back	Approve	Send-back	Approve	Approve	Approve/Skip	Approve/Skip		
58	Scenario 118	SOT	MT-4339	MT-4399	Send-Back_MT-4339:Base_SOT_Scenario-58_BRE 3 Happy Flow			Rushiki 		Blocked	MF25022500014222	Mt-6578	18/02/2025	"MT-6578
MT-6557"	"MF2502130008120 - 13/02/25
Mf25021600008621 - blocked "			Approve	Approve	Approve	Send-back	Approve/Skip	Approve	Approve	Skip	Skip	Skip	Skip	Approve	Approve	Approve/Skip	Approve/Skip		
59	Scenario 119	PV	MT-4340	MT-4400	Send-Back_MT-4340:Base_PV_Scenario-59_BRE 2 Deviation-Applicant is repayer - Bre 1 run			Shantesh					2025-02-18 00:00:00	6552	MF25021800008942			Approve	Approve	Approve	Send-back	Approve/Skip	Send-back	Skip	Skip	Approve	Skip	Skip	Approve	Approve	Approve/Skip	Approve/Skip		
60	Scenario 120	SOT	MT-4341	MT-4401	Send-Back_MT-4341:Base_SOT_Scenario-60_BRE 1 Deviation			Lalit										Approve	Approve	Co-Applicants+Applicants - KYC details	Send-back	Send-back	Approve	Skip	Skip	Approve	Approve	Approve	Send-back	Approve	Hold	Approve/Skip		
55	Scenario 115	FES	MT-4336	MT-4396	Send-Back_MT-4336:Base_FES_Scenario-55_BRE 3 Deviation			Saleela		UAT Blocked	MF25022400014005	MT-6745						Send-back	Approve	Co-Applicants+Applicants - Document verification	Approve	Approve/Skip	Skip	Approve	Skip	Skip	Approve	Approve	Approve	Approve	Approve/Skip	Approve/Skip		
